"","Endothelial_Young","CAFs_Young","PVL_Young","Plasmablasts_Young","TcellsCD8_Young","TcellsCD4_Young","NKcells_Young","CyclingTcells_Young","NKTcells_Young","Macrophage_Young","Monocyte_Young","DCs_Young","CancerEpithelial_Young","NormalEpithelial_Young","Bcells_Young","Endothelial_Elderly","CAFs_Elderly","PVL_Elderly","Bcells_Elderly","Plasmablasts_Elderly","TcellsCD8_Elderly","TcellsCD4_Elderly","NKcells_Elderly","CyclingTcells_Elderly","NKTcells_Elderly","Macrophage_Elderly","Monocyte_Elderly","CyclingMyeloid_Elderly","DCs_Elderly","CancerEpithelial_Elderly","NormalEpithelial_Elderly"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-0.129949980571706,-0.10612206248211,-0.198346161802518,0.292046290190913,-0.140478085547501,0.0618001264004261,-0.083057049981323,-0.181698072358341,-0.324634273290375,0.093397943749697,0.126542786737472,0.044924235223875,0.361911537742648,0.362936150224685,-0.0741967322166337,-0.239172205784164,-0.13181284635187,0.00353566553754722,-0.245099495382505,-0.307622484100884,-0.297229392687668,-0.232748214982279,-0.0476391759152939,-0.273090340902838,-0.163664306474526,-0.312524600563475,-0.0310599765579492,-0.250249545524872,-0.0904614873621686,0.331929430256026,0.405019999062683
"HALLMARK_ESTROGEN_RESPONSE_LATE",-0.265310143204454,-0.124110341837736,-0.139016091548981,0.367924024594798,-0.140033512699554,0.0166818307502201,-0.0109359136090038,0.0894130240880022,-0.288705586847251,0.176834194974907,0.138851824188134,0.173072925199146,0.294414004003311,0.315628983853919,-0.201660194177961,-0.345663726325776,-0.221248800796144,-0.0750072490020875,-0.336793189751862,-0.244545770249527,-0.271651133175859,-0.319073087128793,-0.0805266935255418,-0.121568850037075,-0.246744000512656,-0.235689674205579,-0.0496618612080098,-0.0128822132386104,0.0722960544085812,0.293014207852363,0.348363193596783
"HALLMARK_INFLAMMATORY_RESPONSE",-0.268006449329629,-0.337327221085445,-0.401940043698819,-0.0962992010892122,-0.0587710002256056,-0.07271864073548,0.0561683720112564,-0.163242333152996,-0.249689225993209,0.4645915025368,0.509499837026483,0.21936634811171,-0.544222275698946,-0.428284364607497,-0.150342832316993,-0.206485871898791,-0.249225493164452,-0.247411468958401,-0.13543213666578,-0.119653308311005,0.0178661352687889,0.0170822564782797,0.0769663050687645,-0.0569569238077152,0.0236055683776925,0.436655395849961,0.531846060680518,0.230259968660678,0.435123266003123,-0.548305025617842,-0.111541385360289
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.144547178081513,-0.40403611289828,-0.45894555482921,-0.414386578462771,0.314159330917913,0.0770087784181683,0.394397152563733,0.161038549429408,0.190001222091672,0.435948979789928,0.569966344318868,0.32535906485368,-0.635404734585114,-0.629765878915015,0.285348415083232,-0.268976622358861,-0.495356763648946,-0.41876718334467,0.104539984179047,-0.110476627458585,0.363818466243068,0.215013297600295,0.420153821585314,0.205604685535215,0.279763470569967,0.225125197275579,0.259303331998939,-0.140804185246087,0.224532232974664,-0.750214631407612,-0.466848496321657
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-0.437776078369459,-0.466719151262828,-0.475776222183243,-0.491443997523893,-0.176583272757194,-0.156439643826826,0.23972027864303,-0.2954340707501,-0.313877629910423,0.0911464702204555,0.414958706967752,0.124385552622096,-0.629749897829325,-0.299319779229524,-0.11748541197673,-0.136614478516071,-0.199558433723586,-0.119788899518789,0.0401229221026559,-0.231508201137955,0.151321506429858,0.125853276284134,0.385928097638229,-0.0441845533409119,0.239141457352177,0.428359836372257,0.581469961023555,0.210224691596382,0.58806898479857,-0.592151747137721,0.316109950065024
