"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
2.72295947402492e-16,1.56188226324128,0.75,0.43,6.28949179310276e-12,"Ifitm3","Endothelial",6.17395232321018e-14,TRUE,TRUE,"Up_in_Aged"
3.72857026610283e-16,-1.14303410738883,0.899,0.93,8.61225160064432e-12,"Col4a1","Endothelial",8.0313403531855e-14,TRUE,TRUE,"Down_in_Aged"
3.27472821781528e-45,3.07900496647768,0.951,0.236,7.56396723750973e-41,"Clca1","Fibroblasts",1.55451348499691e-41,TRUE,TRUE,"Up_in_Aged"
4.85385874115874e-29,9.50105408655197,0.59,0,1.12114429203285e-24,"Igf2","Fibroblasts",1.15206337221403e-25,TRUE,TRUE,"Up_in_Aged"
1.93080946769619e-23,2.96155356080849,0.732,0.244,4.45978370848467e-19,"Tnc","Fibroblasts",3.05518418105128e-20,TRUE,TRUE,"Up_in_Aged"
2.29520563883685e-22,-5.83769501466449,0.003,0.146,5.30146598458535e-18,"LOC681458","Fibroblasts",2.57437168021305e-19,TRUE,TRUE,"Down_in_Aged"
2.71157750180435e-22,1.61345418795919,0.83,0.366,6.26320171366768e-18,"Col14a1","Fibroblasts",2.57437168021305e-19,TRUE,TRUE,"Up_in_Aged"
5.56186820701121e-22,1.72451848735642,0.804,0.366,1.28468031845545e-17,"Igfbp4","Fibroblasts",4.40036472978037e-19,TRUE,TRUE,"Up_in_Aged"
8.40240751928541e-21,4.69753564139549,0.595,0.106,1.94078808880454e-16,"Glycam1","Fibroblasts",5.69803264200683e-18,TRUE,TRUE,"Up_in_Aged"
2.5514443301904e-20,2.0923198376708,0.699,0.211,5.89332611387378e-16,"Eln","Fibroblasts",1.51396327942673e-17,TRUE,TRUE,"Up_in_Aged"
1.58062035207746e-18,1.37971243167352,0.826,0.382,3.65091688922852e-14,"Dcn","Fibroblasts",8.33689423479078e-16,TRUE,TRUE,"Up_in_Aged"
3.86078871566036e-18,-2.98374552917384,0.121,0.415,8.9176497754323e-14,"Adgrl3","Fibroblasts",1.83271640332397e-15,TRUE,TRUE,"Down_in_Aged"
1.58592806433827e-16,-4.42513036124415,0.008,0.138,3.66317664300854e-12,"Lpo","Fibroblasts",6.84400047401252e-14,TRUE,TRUE,"Down_in_Aged"
8.92629611624932e-16,1.19025837983563,0.8,0.382,2.06179587693127e-11,"Fn1","Fibroblasts",3.53109397198629e-13,TRUE,TRUE,"Up_in_Aged"
