"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
0.00049903803946812,0.267304288273372,0.595,0.358,1,"Rps29","Fibroblasts",0.00353572175127636,TRUE,TRUE,"Up_in_Aged"
0.00198705767855288,0.433361575888905,0.107,0.067,1,"Spp1","Basal",0.00356694678652411,TRUE,TRUE,"Up_in_Aged"
0.000508175580555432,-1.78060009114859,0.123,0.228,1,"Niban1","Fibroblasts",0.00358732512379801,TRUE,TRUE,"Down_in_Aged"
0.000508920302692051,0.769225992815241,0.284,0.122,1,"Slc35b1","Fibroblasts",0.00358732512379801,TRUE,TRUE,"Up_in_Aged"
0.000509219143103117,0.293339473758259,0.325,0.146,1,"Tmem132a","Fibroblasts",0.00358732512379801,TRUE,TRUE,"Up_in_Aged"
0.000509344245510819,2.43857234501565,0.122,0.016,1,"Prkar1b","Fibroblasts",0.00358732512379801,TRUE,TRUE,"Up_in_Aged"
0.000510915120346219,0.563620566493793,0.307,0.138,1,"Lclat1","Fibroblasts",0.003592447526184,TRUE,TRUE,"Up_in_Aged"
0.000511585112218324,1.0080640060133,0.244,0.098,1,"Tspan6","Fibroblasts",0.003592447526184,TRUE,TRUE,"Up_in_Aged"
0.00200483502980416,-0.672683772505652,0.199,0.247,1,"Dlgap5","Basal",0.00359716035078594,TRUE,TRUE,"Down_in_Aged"
0.000513222195998019,-1.83694388485809,0.129,0.236,1,"Ndrg1","Fibroblasts",0.00359862003604519,TRUE,TRUE,"Down_in_Aged"
0.000396941266360828,-0.544664649703597,0.478,0.613,1,"Rapgef1","Endothelial",0.00360750148720226,TRUE,TRUE,"Down_in_Aged"
0.000397763046987251,1.70482524644728,0.17,0.059,1,"Pcdha5","Endothelial",0.00360750148720226,TRUE,TRUE,"Up_in_Aged"
0.00201273531287343,-0.469657088262003,0.084,0.123,1,"Csn1s2b","Basal",0.00360881420345023,TRUE,TRUE,"Down_in_Aged"
0.00201322854432349,0.263174802079485,0.175,0.126,1,"Zfp397","Basal",0.00360881420345023,TRUE,TRUE,"Up_in_Aged"
0.000515650608456292,1.60513214921762,0.216,0.081,1,"Il17rd","Fibroblasts",0.00361031480581419,TRUE,TRUE,"Up_in_Aged"
0.000400302676449423,0.830724950125762,0.558,0.419,1,"Rps28","Endothelial",0.00362290741626914,TRUE,TRUE,"Up_in_Aged"
0.00202362527330077,-1.01552038989703,0.151,0.192,1,"Gpnmb","Basal",0.00362574141804408,TRUE,TRUE,"Down_in_Aged"
0.00202518234846637,0.331621800751073,0.125,0.084,1,"Snx7","Basal",0.00362682208613714,TRUE,TRUE,"Up_in_Aged"
0.000402016114208848,0.728411445426666,0.243,0.108,1,"Lipe","Endothelial",0.00363078704404972,TRUE,TRUE,"Up_in_Aged"
0.000521317083686349,0.343716969508309,0.337,0.163,1,"Atp2b4","Fibroblasts",0.00364461295472622,TRUE,TRUE,"Up_in_Aged"
0.000405781060445202,-0.586805623895589,0.486,0.597,1,"Ptpre","Endothelial",0.0036571230301212,TRUE,TRUE,"Down_in_Aged"
0.000524327949494268,0.71292593788376,0.377,0.203,1,"Grb2","Fibroblasts",0.00366027172977837,TRUE,TRUE,"Up_in_Aged"
0.00204572430554735,-0.963925942424775,0.098,0.137,1,"LOC100363469","Basal",0.00366188503281121,TRUE,TRUE,"Down_in_Aged"
0.000408855697151378,1.55482541204122,0.286,0.151,1,"Slco3a1","Endothelial",0.00367022512138643,TRUE,TRUE,"Up_in_Aged"
0.000408938732187903,-1.02424695823572,0.435,0.543,1,"Fstl1","Endothelial",0.00367022512138643,TRUE,TRUE,"Down_in_Aged"
0.000527188764676304,0.98154351214041,0.208,0.073,1,"Il11ra1","Fibroblasts",0.00367483856963057,TRUE,TRUE,"Up_in_Aged"
0.00205657767723993,0.487849684476327,0.123,0.081,1,"Ercc8","Basal",0.00367958039005469,TRUE,TRUE,"Up_in_Aged"
0.00207034119739386,0.398297338111593,0.102,0.065,1,"Intu","Basal",0.00370246342073917,TRUE,TRUE,"Up_in_Aged"
0.000532823332149115,0.805393971510235,0.405,0.244,1,"Jarid2","Fibroblasts",0.00370866914620506,TRUE,TRUE,"Up_in_Aged"
0.00207587534499563,-0.506985031794657,0.191,0.241,1,"Narf","Basal",0.00371061497963017,TRUE,TRUE,"Down_in_Aged"
0.00207904019902775,0.383636484242373,0.158,0.112,1,"Zfp143","Basal",0.00371415875729954,TRUE,TRUE,"Up_in_Aged"
0.00207981167656253,-0.562992036952399,0.223,0.273,1,"Mapk6","Basal",0.00371415875729954,TRUE,TRUE,"Down_in_Aged"
0.000414847586314604,1.83237602712788,0.17,0.059,1,"Ifi47","Endothelial",0.00371551642794868,TRUE,TRUE,"Up_in_Aged"
0.000535696556883009,0.665136419841001,0.403,0.236,1,"Fgfr1","Fibroblasts",0.00371820492501692,TRUE,TRUE,"Up_in_Aged"
0.000535759883865931,1.8630395455257,0.148,0.033,1,"Penk","Fibroblasts",0.00371820492501692,TRUE,TRUE,"Up_in_Aged"
0.00208735644793123,-1.00622681946942,0.126,0.167,1,"Acsf2","Basal",0.00372588226057959,TRUE,TRUE,"Down_in_Aged"
0.000416936671266403,1.00885122848334,0.46,0.328,1,"Tpk1","Endothelial",0.00372647962617358,TRUE,TRUE,"Up_in_Aged"
0.00209247118124896,0.323374230761808,0.195,0.143,1,"Ikbke","Basal",0.00373325923562109,TRUE,TRUE,"Up_in_Aged"
0.00209387506128481,0.311400486262554,0.241,0.186,1,"Ttc27","Basal",0.00373401171810734,TRUE,TRUE,"Up_in_Aged"
0.000540135760349991,2.06666314538522,0.134,0.024,1,"Wnt6","Fibroblasts",0.00374310139325753,TRUE,TRUE,"Up_in_Aged"
0.000541836857132447,3.12240448508646,0.121,0.016,1,"Ccl5","Fibroblasts",0.00374941626939901,TRUE,TRUE,"Up_in_Aged"
0.00210396267679366,0.325473795767361,0.245,0.189,1,"Mcm9","Basal",0.0037502419583542,TRUE,TRUE,"Up_in_Aged"
0.00210537818162642,0.322548249359257,0.151,0.107,1,"Fbxw8","Basal",0.00375100648853967,TRUE,TRUE,"Up_in_Aged"
0.000544217401806711,1.43553976695999,0.184,0.057,1,"Bnc2","Fibroblasts",0.00376040757842279,TRUE,TRUE,"Up_in_Aged"
0.000421689153508856,0.63912228673595,0.5,0.339,1,"Slc25a4","Endothelial",0.00376115294682433,TRUE,TRUE,"Up_in_Aged"
0.00211648301714569,0.406811530231865,0.211,0.16,1,"Zcchc17","Basal",0.00376902502631752,TRUE,TRUE,"Up_in_Aged"
0.00211752727766822,-0.639438329061704,0.214,0.262,1,"Arpc4","Basal",0.00376911924611169,TRUE,TRUE,"Down_in_Aged"
0.000546698428480748,0.87291900445373,0.348,0.187,1,"Cspp1","Fibroblasts",0.00377206023255539,TRUE,TRUE,"Up_in_Aged"
0.00354560166218882,0.37168474258444,0.132,0.126,1,"Tmem134","Luminal",0.00377316167107014,TRUE,TRUE,"Up_in_Aged"
0.000547863511474967,0.789385520553283,0.315,0.154,1,"Ddhd2","Fibroblasts",0.00377461261098936,TRUE,TRUE,"Up_in_Aged"
0.000549336108836446,1.15129816552689,0.148,0.033,1,"Hic1","Fibroblasts",0.00377927320093711,TRUE,TRUE,"Up_in_Aged"
0.00212553357873087,0.252187556979145,0.298,0.235,1,"Bicd1","Basal",0.00378159975027364,TRUE,TRUE,"Up_in_Aged"
0.000551130787547898,0.497600251185575,0.192,0.057,1,"Slc12a7","Fibroblasts",0.00378613292111414,TRUE,TRUE,"Up_in_Aged"
0.00213332426256595,0.260026948269379,0.254,0.195,1,"Tbc1d14","Basal",0.00379368514793066,TRUE,TRUE,"Up_in_Aged"
0.00213640673122642,0.291530745943254,0.157,0.11,1,"Ccdc14","Basal",0.0037973905526521,TRUE,TRUE,"Up_in_Aged"
0.00213997137234056,0.67549296777212,0.121,0.08,1,"Il6r","Basal",0.00380194913908355,TRUE,TRUE,"Up_in_Aged"
0.000554643309592873,0.765320691294631,0.262,0.114,1,"F2r","Fibroblasts",0.00380475692288637,TRUE,TRUE,"Up_in_Aged"
0.00214433356930534,-0.903902612673517,0.069,0.104,1,"Enc1","Basal",0.00380748009420031,TRUE,TRUE,"Down_in_Aged"
0.00214508741761627,-0.533352474307929,0.119,0.164,1,"Hexim1","Basal",0.00380748009420031,TRUE,TRUE,"Down_in_Aged"
0.0021697787682261,0.52476274834292,0.106,0.068,1,"Fundc2","Basal",0.0038495095085374,TRUE,TRUE,"Up_in_Aged"
0.000562100526700817,0.956652636100235,0.316,0.154,1,"Pcnx1","Fibroblasts",0.00385034805230704,TRUE,TRUE,"Up_in_Aged"
0.00217361056693494,0.629612579973291,0.116,0.077,1,"Kctd4","Basal",0.00385450903707399,TRUE,TRUE,"Up_in_Aged"
0.00218024167375247,0.546600865298811,0.142,0.099,1,"Tyw1","Basal",0.0038644656613552,TRUE,TRUE,"Up_in_Aged"
0.0005682696191658,0.382916864968823,0.241,0.089,1,"Psmb8","Fibroblasts",0.00388699694838624,TRUE,TRUE,"Up_in_Aged"
0.00219616883217976,0.463495053294225,0.138,0.096,1,"Zw10","Basal",0.00389088252560458,TRUE,TRUE,"Up_in_Aged"
0.000437399302539704,0.718878298376755,0.562,0.403,1,"Rpl29","Endothelial",0.00389321527963026,TRUE,TRUE,"Up_in_Aged"
0.000438714175592821,1.60723659574147,0.181,0.07,1,"Csrp2","Endothelial",0.00389686735763685,TRUE,TRUE,"Up_in_Aged"
0.00220096548283224,-0.427164011563345,0.579,0.602,1,"Rplp2","Basal",0.00389756439950078,TRUE,TRUE,"Down_in_Aged"
0.000441981697845389,0.514483842045244,0.63,0.5,1,"Ubc","Endothelial",0.00391781307472826,TRUE,TRUE,"Up_in_Aged"
0.00221477768683734,0.403345116852759,0.14,0.097,1,"Slx1b","Basal",0.00391973946677811,TRUE,TRUE,"Up_in_Aged"
0.00221554974069073,0.407084460953695,0.139,0.096,1,"Ppa2","Basal",0.00391973946677811,TRUE,TRUE,"Up_in_Aged"
0.00221713606156859,-0.570478240878489,0.238,0.285,1,"Yipf4","Basal",0.00392072153771338,TRUE,TRUE,"Down_in_Aged"
0.000444160814549425,-0.709584967071649,0.554,0.656,1,"Myo1b","Endothelial",0.00392904474143516,TRUE,TRUE,"Down_in_Aged"
0.000446455918237917,1.32754300512506,0.225,0.102,1,"Tmc6","Endothelial",0.00394125429460849,TRUE,TRUE,"Up_in_Aged"
0.000447460063760779,2.16276197836975,0.109,0.022,1,"Cetn2","Endothelial",0.0039420408071195,TRUE,TRUE,"Up_in_Aged"
0.000451413054308693,0.799917767851324,0.391,0.237,1,"Atp5pd","Endothelial",0.00394703289160646,TRUE,TRUE,"Up_in_Aged"
0.000451445792947789,0.703904563654357,0.243,0.108,1,"C4b","Endothelial",0.00394703289160646,TRUE,TRUE,"Up_in_Aged"
0.000452495200087389,0.996763775991973,0.355,0.21,1,"Prrc2a","Endothelial",0.00394703289160646,TRUE,TRUE,"Up_in_Aged"
0.000452525045549478,-0.685796455841932,0.163,0.306,1,"Rtn4rl1","Endothelial",0.00394703289160646,TRUE,TRUE,"Down_in_Aged"
0.000452607764264993,0.707200542134345,0.246,0.113,1,"Lgals3","Endothelial",0.00394703289160646,TRUE,TRUE,"Up_in_Aged"
0.00224282777282347,0.253483417742648,0.312,0.252,1,"Carm1","Basal",0.00396431017771958,TRUE,TRUE,"Up_in_Aged"
0.000456862078651485,1.32187208247302,0.525,0.419,1,"Marchf3","Endothelial",0.00397608451480929,TRUE,TRUE,"Up_in_Aged"
0.000458148838448235,0.711529999653008,0.406,0.253,1,"Psma6","Endothelial",0.00397924434684475,TRUE,TRUE,"Up_in_Aged"
0.000583475401095175,0.653417830182817,0.479,0.301,1,"Ankrd12","Fibroblasts",0.00398500708893579,TRUE,TRUE,"Up_in_Aged"
0.000584277424457406,0.750204265390292,0.2,0.065,1,"Rem1","Fibroblasts",0.00398500708893579,TRUE,TRUE,"Up_in_Aged"
0.000585916070264147,2.78244952260834,0.105,0.008,1,"Fcgr2a-ps1","Fibroblasts",0.00399044990752353,TRUE,TRUE,"Up_in_Aged"
0.000587839231897731,1.81449345384262,0.17,0.049,1,"Bin3","Fibroblasts",0.00399781208283457,TRUE,TRUE,"Up_in_Aged"
0.000462590529732028,1.11420007177551,0.482,0.36,1,"Sema6a","Endothelial",0.00400973843477984,TRUE,TRUE,"Up_in_Aged"
0.00227213723256224,-0.58215231965089,0.18,0.229,1,"Ehbp1l1","Basal",0.00401424988764017,TRUE,TRUE,"Down_in_Aged"
