"GeneSymb","PathwayName","Spearman_Rho","Spearman_pval","FDR_qval","n_samples","Sig_nominal","Sig_FDR"
"HSD17B2","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",-0.12557735396902,0.434023544708893,0.542529430886116,41,FALSE,FALSE
"HSD17B2","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS",-0.0961220134821857,0.54995057144298,0.647000672285858,41,FALSE,FALSE
"SAA1","Estrogen",-0.1881636583561,0.238742918553952,0.406122505395122,41,FALSE,FALSE
"SAA1","HALLMARK_ESTROGEN_RESPONSE_EARLY",-0.165097004115024,0.302285607578111,0.431836582254444,41,FALSE,FALSE
"SAA1","HALLMARK_ESTROGEN_RESPONSE_LATE",-0.180631088265836,0.258408101089695,0.411830718398698,41,FALSE,FALSE
"SAA1","E1UpRegGene",-0.30234632078896,0.0546905799709199,0.113152924077765,41,FALSE,FALSE
"SAA1","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",-0.251102787096345,0.113282425241119,0.212404547327098,41,FALSE,FALSE
"SAA1","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS",0.147194919331467,0.358422029661228,0.477896039548305,41,FALSE,FALSE
"Age","Estrogen",-0.0516555311119643,0.748405734590468,0.801863287061216,41,FALSE,FALSE
"Age","HALLMARK_ESTROGEN_RESPONSE_EARLY",-0.114829362154658,0.474671855029427,0.581230842893177,41,FALSE,FALSE
"Age","HALLMARK_ESTROGEN_RESPONSE_LATE",-0.05348814513739,0.739785454726466,0.801863287061216,41,FALSE,FALSE
"Age","E1UpRegGene",0.324855406764279,0.0382336969939145,0.0819293507012453,41,TRUE,FALSE
"Age","REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.177130399068355,0.267904340739729,0.411830718398698,41,FALSE,FALSE
"Age","GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS",0.166834149270293,0.2971556431275,0.431836582254444,41,FALSE,FALSE
