"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","102-FF-Tumor","107-L4t2-Tumor","116-R4-Tumor","157-R2-Tumor","158-L2-Tumor","167-L2-Tumor","external_gene_name"
"ENSRNOG00000000001",3.45729825747414,-0.492221291090106,1.48038552210924,-0.332495342421881,0.739515256064048,NA,0,2.05202264014881,9.9348391193305,1.61429040860733,4.9776767734492,2.16496060330902,"Arsj"
"ENSRNOG00000000007",22.572722888367,-2.63970792486832,0.982493359800892,-2.68674378155927,0.00721522754758751,0.147156023454774,8.74674155122411,16.4161811211905,91.2198864593073,2.421435612911,5.80728956902406,10.8248030165451,"Gad1"
"ENSRNOG00000000008",3.75918407155544,-0.511484744706483,1.69176069509361,-0.30233870912705,0.762393872578286,NA,1.45779025853735,0,11.7411735046633,0.807145204303666,7.46651516017379,1.08248030165451,"Alx4"
"ENSRNOG00000000009",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,"Tmco5b"
"ENSRNOG00000000010",0.321529752123469,-2.02157969975617,4.04793330633966,-0.499410327880176,0.617490344857904,NA,0,1.02601132007441,0.903167192666409,0,0,0,"Cbln1"
"ENSRNOG00000000012",0.288796664706879,-0.299387418708801,4.0804728567969,-0.0733707658930036,0.941511080315513,NA,0,0,0.903167192666409,0,0.829612795574866,0,"Tcf15"
"ENSRNOG00000000017",37.0725029083704,-1.31689560655286,0.752562715548493,-1.7498815438831,0.080138755998665,0.586534356885562,68.5161421512555,48.222532043497,42.4488580553212,20.1786301075917,39.8214141875936,3.24744090496353,"Steap1"
"ENSRNOG00000000021",55.2101440810497,-0.387289498390373,0.427093469396845,-0.906802670004099,0.364511157710398,0.938822012999469,68.5161421512555,59.5086565643155,59.609034715983,30.6715177635393,55.584057303516,57.371455987689,NA
"ENSRNOG00000000024",12.7804366717491,0.618328885533147,0.833924224972919,0.741468909304351,0.458409176210711,0.962428276460038,8.74674155122411,5.13005660037203,16.2570094679954,7.264306838733,27.3772222539706,11.9072833181996,"Hebp1"
"ENSRNOG00000000033",37.6193051176982,0.752445859912055,0.422805409004006,1.77965050561812,0.075133175186573,0.569243048212342,26.2402246536723,28.7283169620833,28.9013501653251,49.2358574625237,40.6510269831684,51.9590544794164,"Tmcc2"
"ENSRNOG00000000034",90.1139720807662,-0.392390520254323,0.517432311442764,-0.758341741667068,0.448246424600289,0.962428276460038,96.2141570634652,150.823664050938,59.609034715983,79.907375226063,44.7990909610428,109.330510467105,"Nuak2"
"ENSRNOG00000000035",0.676365602131589,2.74538001361596,3.59185633465191,0.764334582964888,0.444667881510296,NA,0,0,0,3.22858081721467,0.829612795574866,0,"Tmed11"
"ENSRNOG00000000036",5.49270898226366,3.84244581525694,1.45937453276084,2.63294015963662,0.00846492599811657,0.164541455652921,0,2.05202264014881,0,12.107178064555,5.80728956902406,12.9897636198541,"Klhdc8a"
"ENSRNOG00000000040",16.6139324670622,-0.808337550852491,0.826992629905742,-0.9774422668611,0.328350246559994,0.924157548389896,32.0713856878217,19.4942150814137,11.7411735046633,4.842871225822,6.63690236459893,24.8970469380537,"Kiaa1614"
"ENSRNOG00000000041",117.923605390958,-0.155446106040388,0.362039149497349,-0.429362698084469,0.667659295434939,0.99092444770195,150.152396629347,104.653154647589,118.3149022393,126.721797075676,82.1316667619117,125.567714991923,"Slc26a1"
"ENSRNOG00000000042",288.073586918222,0.12802913407481,0.378206300558374,0.338516661107421,0.734973873686273,0.993896804815816,199.717265419617,380.650199747604,244.758309212597,303.486596818179,233.950808352112,365.878341959224,"Xpr1"
"ENSRNOG00000000043",358.00009687035,-0.624223309242919,0.370105261298848,-1.68661020124996,0.0916783291163688,0.617290558656401,588.94726444909,331.401656384033,382.942889690557,322.050936517163,206.573586098142,316.084248083117,"Idua"
"ENSRNOG00000000044",227.773654354898,-0.124525369495028,0.290282917203398,-0.428979323670552,0.667938271742132,0.99092444770195,274.064568605022,246.242716817857,193.277779230612,218.736350366294,226.484293191938,207.836217917666,"Tmem175"
"ENSRNOG00000000047",818.183074731759,0.612082220479055,0.410975295169489,1.48934066761027,0.136397683893115,0.734831318885388,590.405054707627,746.936241014167,604.218851893828,659.437631916095,1554.6943789073,753.406289951538,"Cd82"
"ENSRNOG00000000048",850.60977011767,-0.0417177756161483,0.356131174693774,-0.117141600007413,0.906747844606402,0.994645030658388,1075.84921080057,771.560512695953,742.403432371788,829.745270024169,1101.72579252342,582.374402290126,"Gak"
"ENSRNOG00000000053",0.791456173575462,-1.98644654046308,2.94193827275006,-0.675216933972646,0.499537949426355,NA,2.9155805170747,1.02601132007441,0,0.807145204303666,0,0,"Crp"
"ENSRNOG00000000054",46.1507224101194,0.510858819144263,0.454565483924556,1.12383988052434,0.261080959554188,0.887382610866424,21.8668538780603,48.222532043497,43.3520252479876,54.0787286883456,53.0952189167914,56.2889756860345,"Abhd8"
"ENSRNOG00000000055",0.574574488830901,1.04384923251197,3.87293428954971,0.269524126791558,0.787526378420113,NA,0,1.02601132007441,0,2.421435612911,0,0,"Fcrl6"
"ENSRNOG00000000062",443.184482164392,-0.0406482764250998,0.24680506334593,-0.164697903171159,0.869181767470464,0.994645030658388,432.963706785593,451.444980832738,463.324769837868,403.572602151833,423.932138538756,483.868694839566,"Pcgf3"
"ENSRNOG00000000064",57.1123206741324,0.514176071126419,0.501097867058893,1.02609910144756,0.304844873804938,0.915611611485899,23.3246441365976,55.4046112840179,61.4153691013158,55.693019096953,58.0728956902406,88.7633847356698,"Atp5me"
