Gene	E1_log2FC	E1_pvalue	E1_qvalue	E2_log2FC	E2_pvalue	E2_qvalue	
PCDHB8	1.088	0.000	0.000	0.971	0.000	0.000	nd
SUSD4	1.088	0.000	0.000	0.957	0.000	0.000	nd
AMOTL2	1.087	0.000	0.000	0.942	0.000	0.000	nd
SCARB1	1.086	0.000	0.000	0.867	0.000	0.000	nd
DCAF4	1.086	0.000	0.000	0.865	0.000	0.000	nd
PIP4K2C	1.085	0.000	0.000	0.821	0.000	0.000	nd
SPATA20	1.084	0.000	0.000	0.872	0.000	0.000	nd
TRIM62	1.084	0.000	0.000	0.954	0.000	0.000	nd
MYL6	1.084	0.000	0.000	0.925	0.000	0.000	nd
MBD6	1.084	0.000	0.000	0.903	0.000	0.000	nd
PAK4	1.084	0.000	0.000	0.860	0.000	0.000	nd
PNPO	1.083	0.000	0.000	0.954	0.000	0.000	nd
CCDC85A	1.083	0.002	0.003	0.932	0.001	0.002	nd
IFT122	1.082	0.000	0.000	0.775	0.000	0.000	nd
RNF31	1.082	0.000	0.000	0.904	0.000	0.000	nd
TYW1	1.081	0.000	0.000	0.894	0.000	0.000	nd
TNS3	1.081	0.000	0.000	0.665	0.000	0.000	nd
GTPBP6	1.080	0.000	0.000	0.832	0.000	0.000	nd
TSC22D4	1.080	0.000	0.000	0.891	0.000	0.000	nd
PTPN1	1.079	0.000	0.000	0.866	0.000	0.000	nd
FAM212B	1.078	0.000	0.000	0.761	0.000	0.000	nd
ZNF496	1.078	0.000	0.000	0.820	0.000	0.000	nd
ORAI1	1.077	0.000	0.000	0.743	0.000	0.000	nd
ST6GALndC2	1.076	0.000	0.000	0.998	0.000	0.000	nd
ZC3H4	1.073	0.000	0.000	0.976	0.000	0.000	nd
AGFG2	1.073	0.000	0.000	0.750	0.000	0.000	nd
SOWAHB	1.072	0.000	0.000	0.491	0.043	0.068	nd
BCL2L1	1.072	0.000	0.000	0.931	0.000	0.000	nd
EFnd4	1.072	0.000	0.000	0.987	0.000	0.000	nd
SIPA1L3	1.072	0.000	0.000	0.944	0.000	0.000	nd
TRIM14	1.072	0.000	0.000	0.823	0.000	0.000	nd
